name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,hurricane_class
            Blanche,1975,7,27,60,35.9,-70.0,hurricane,1.0,65,987,212,59,0
            Blanche,1975,7,27,12,36.9,-69.0,hurricane,1.0,70,984,220,63,0
            Blanche,1975,7,27,18,37.9,-68.0,hurricane,1.0,75,981,230,64,0
            Blanche,1975,7,28,0,39.3,-67.2,hurricane,1.0,75,980,730,160,0
            Blanche,1975,7,28,60,41.2,-66.4,hurricane,1.0,70,980,492,118,0
           Caroline,1975,8,30,0,23.3,-94.2,hurricane,1.0,65,990,233,55,0
           Caroline,1975,8,30,60,23.5,-94.9,hurricane,1.0,65,990,228,56,0
           Caroline,1975,8,30,12,23.7,-95.6,hurricane,1.0,65,989,228,56,0
           Caroline,1975,8,30,18,23.8,-96.3,hurricane,1.0,70,987,227,61,0
           Caroline,1975,8,31,0,24.0,-97.0,hurricane,3.0,100,973,273,97,1
           Caroline,1975,8,31,60,24.1,-97.5,hurricane,3.0,100,963,280,97,1
           Caroline,1975,8,31,12,24.3,-97.8,hurricane,2.0,90,963,361,143,0
              Doris,1975,8,31,0,34.9,-46.3,hurricane,1.0,65,990,237,54,0
              Doris,1975,8,31,60,34.8,-45.7,hurricane,1.0,65,990,236,54,0
              Doris,1975,8,31,12,34.7,-45.2,hurricane,1.0,70,990,238,58,0
              Doris,1975,8,31,18,34.6,-44.9,hurricane,1.0,70,990,237,58,0
              Doris,1975,9,1,0,34.5,-44.6,hurricane,1.0,75,984,215,57,0
              Doris,1975,9,1,60,34.6,-44.2,hurricane,1.0,75,984,216,58,0
              Doris,1975,9,1,12,34.9,-44.0,hurricane,1.0,75,984,218,59,0
              Doris,1975,9,1,18,35.4,-44.0,hurricane,1.0,75,984,218,59,0
              Doris,1975,9,2,0,35.8,-44.4,hurricane,2.0,90,970,157,42,0
              Doris,1975,9,2,60,36.4,-44.5,hurricane,2.0,95,965,158,41,0
              Doris,1975,9,2,12,37.0,-44.3,hurricane,2.0,95,965,156,42,0
              Doris,1975,9,2,18,37.7,-44.2,hurricane,2.0,95,965,156,43,0
              Doris,1975,9,3,0,38.4,-43.8,hurricane,2.0,95,965,200,56,0
              Doris,1975,9,3,60,39.7,-43.6,hurricane,2.0,95,965,351,90,0
              Doris,1975,9,3,12,41.1,-43.0,hurricane,2.0,95,965,528,122,0
              Doris,1975,9,3,18,42.0,-42.5,hurricane,2.0,90,970,409,85,0
