name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,hurricane_class,merge_name,storm_id,correct_datetime,datetime,CSST,COHC,SHRD,RHMD,MTPW,VMPI,DTL
            Alberto,1982,6,3,18,24.0,-83.6,hurricane,1.0,75,985,242,56,0,ALBERTO,AL011982,1982-06-03 18:00:00,1982-06-03 18:00:00,277.0,67.0,294.0,51.0,541.0,111.0,118.0
            Alberto,1982,6,4,0,24.8,-83.4,hurricane,1.0,65,992,216,53,0,ALBERTO,AL011982,1982-06-04 00:00:00,1982-06-04 00:00:00,278.0,27.0,265.0,48.0,513.0,113.0,201.0
              Debby,1982,9,15,0,25.6,-71.0,hurricane,1.0,65,993,213,55,0,DEBBY,AL061982,1982-09-15 00:00:00,1982-09-15 00:00:00,290.0,42.0,174.0,50.0,505.0,141.0,518.0
              Debby,1982,9,15,60,26.7,-70.3,hurricane,1.0,65,990,212,56,0,DEBBY,AL061982,1982-09-15 06:00:00,1982-09-15 06:00:00,289.0,36.0,98.0,55.0,501.0,135.0,658.0
              Debby,1982,9,15,12,27.8,-69.6,hurricane,1.0,75,980,212,65,0,DEBBY,AL061982,1982-09-15 12:00:00,1982-09-15 12:00:00,287.0,36.0,151.0,51.0,486.0,129.0,798.0
              Debby,1982,9,15,18,29.0,-68.5,hurricane,2.0,90,969,220,64,0,DEBBY,AL061982,1982-09-15 18:00:00,1982-09-15 18:00:00,282.0,34.0,160.0,53.0,501.0,123.0,967.0
              Debby,1982,9,16,0,30.5,-67.5,hurricane,2.0,95,966,210,61,0,DEBBY,AL061982,1982-09-16 00:00:00,1982-09-16 00:00:00,279.0,23.0,131.0,55.0,477.0,116.0,956.0
              Debby,1982,9,16,60,32.1,-66.7,hurricane,2.0,95,966,202,59,0,DEBBY,AL061982,1982-09-16 06:00:00,1982-09-16 06:00:00,273.0,16.0,110.0,52.0,478.0,106.0,922.0
              Debby,1982,9,16,12,33.6,-65.8,hurricane,2.0,95,966,205,61,0,DEBBY,AL061982,1982-09-16 12:00:00,1982-09-16 12:00:00,270.0,14.0,171.0,48.0,465.0,116.0,936.0
              Debby,1982,9,16,18,35.1,-65.6,hurricane,2.0,95,966,198,59,0,DEBBY,AL061982,1982-09-16 18:00:00,1982-09-16 18:00:00,267.0,11.0,174.0,45.0,476.0,118.0,825.0
              Debby,1982,9,17,0,36.4,-65.6,hurricane,2.0,95,966,196,60,0,DEBBY,AL061982,1982-09-17 00:00:00,1982-09-17 00:00:00,267.0,14.0,185.0,44.0,468.0,116.0,698.0
              Debby,1982,9,17,60,36.8,-65.6,hurricane,2.0,95,966,199,60,0,DEBBY,AL061982,1982-09-17 06:00:00,1982-09-17 06:00:00,267.0,14.0,149.0,43.0,448.0,97.0,660.0
              Debby,1982,9,17,12,37.1,-65.0,hurricane,2.0,95,966,198,59,0,DEBBY,AL061982,1982-09-17 12:00:00,1982-09-17 12:00:00,267.0,15.0,220.0,38.0,477.0,86.0,664.0
              Debby,1982,9,17,18,37.6,-63.5,hurricane,3.0,100,960,201,60,1,DEBBY,AL061982,1982-09-17 18:00:00,1982-09-17 18:00:00,264.0,10.0,224.0,38.0,516.0,68.0,682.0
              Debby,1982,9,18,0,38.8,-62.3,hurricane,4.0,115,950,582,134,1,DEBBY,AL061982,1982-09-18 00:00:00,1982-09-18 00:00:00,262.0,1.0,218.0,41.0,474.0,39.0,591.0
              Debby,1982,9,18,60,40.1,-60.7,hurricane,3.0,110,952,605,138,1,DEBBY,AL061982,1982-09-18 06:00:00,1982-09-18 06:00:00,245.0,0.0,234.0,43.0,449.0,0.0,538.0
              Debby,1982,9,18,12,41.6,-58.5,hurricane,3.0,110,954,592,133,1,DEBBY,AL061982,1982-09-18 12:00:00,1982-09-18 12:00:00,230.0,0.0,302.0,44.0,430.0,0.0,459.0
              Debby,1982,9,18,18,43.5,-56.1,hurricane,3.0,100,960,505,118,1,DEBBY,AL061982,1982-09-18 18:00:00,1982-09-18 18:00:00,188.0,0.0,301.0,51.0,445.0,0.0,377.0
              Debby,1982,9,19,0,45.3,-53.5,hurricane,2.0,90,970,510,116,0,DEBBY,AL061982,1982-09-19 00:00:00,1982-09-19 00:00:00,150.0,0.0,370.0,51.0,430.0,0.0,146.0
              Debby,1982,9,19,60,47.0,-50.5,hurricane,1.0,75,979,476,106,0,DEBBY,AL061982,1982-09-19 06:00:00,1982-09-19 06:00:00,124.0,0.0,454.0,49.0,444.0,0.0,169.0
              Debby,1982,9,19,12,48.5,-47.1,hurricane,1.0,70,987,479,110,0,DEBBY,AL061982,1982-09-19 12:00:00,1982-09-19 12:00:00,111.0,0.0,438.0,44.0,414.0,0.0,424.0
              Debby,1982,9,19,18,50.0,-43.5,hurricane,1.0,70,987,398,79,0,DEBBY,AL061982,1982-09-19 18:00:00,1982-09-19 18:00:00,137.0,0.0,498.0,38.0,346.0,0.0,704.0
              Debby,1982,9,20,0,50.8,-39.0,hurricane,1.0,70,987,400,80,0,DEBBY,AL061982,1982-09-20 00:00:00,1982-09-20 00:00:00,143.0,0.0,452.0,35.0,299.0,13.0,1034.0
             Alicia,1983,8,17,0,27.4,-93.3,hurricane,1.0,65,991,174,35,0,ALICIA,AL031983,1983-08-17 00:00:00,1983-08-17 00:00:00,299.0,52.0,144.0,47.0,488.0,155.0,254.0
             Alicia,1983,8,17,60,27.7,-93.7,hurricane,1.0,70,987,190,55,0,ALICIA,AL031983,1983-08-17 06:00:00,1983-08-17 06:00:00,299.0,52.0,66.0,47.0,492.0,145.0,205.0
             Alicia,1983,8,17,12,27.9,-94.2,hurricane,1.0,75,983,195,62,0,ALICIA,AL031983,1983-08-17 12:00:00,1983-08-17 12:00:00,297.0,52.0,58.0,50.0,490.0,141.0,161.0
             Alicia,1983,8,17,18,28.1,-94.5,hurricane,2.0,90,974,217,64,0,ALICIA,AL031983,1983-08-17 18:00:00,1983-08-17 18:00:00,298.0,52.0,96.0,50.0,476.0,152.0,125.0
             Alicia,1983,8,18,0,28.4,-94.8,hurricane,2.0,95,969,220,64,0,ALICIA,AL031983,1983-08-18 00:00:00,1983-08-18 00:00:00,298.0,53.0,95.0,49.0,498.0,152.0,81.0
             Alicia,1983,8,18,60,28.9,-95.0,hurricane,3.0,100,963,218,63,1,ALICIA,AL031983,1983-08-18 06:00:00,1983-08-18 06:00:00,298.0,50.0,103.0,50.0,491.0,134.0,26.0
              Barry,1983,8,28,12,25.5,-96.4,hurricane,1.0,65,993,200,57,0,BARRY,AL041983,1983-08-28 12:00:00,1983-08-28 12:00:00,292.0,57.0,110.0,57.0,510.0,118.0,81.0
            Chantal,1983,9,11,18,32.8,-60.0,hurricane,1.0,65,994,196,52,0,CHANTAL,AL051983,1983-09-11 18:00:00,1983-09-11 18:00:00,274.0,13.0,206.0,40.0,409.0,119.0,1287.0
            Chantal,1983,9,12,0,33.1,-58.9,hurricane,1.0,65,994,251,54,0,CHANTAL,AL051983,1983-09-12 00:00:00,1983-09-12 00:00:00,270.0,11.0,226.0,42.0,405.0,115.0,1295.0
            Chantal,1983,9,12,60,33.6,-57.6,hurricane,1.0,65,994,262,46,0,CHANTAL,AL051983,1983-09-12 06:00:00,1983-09-12 06:00:00,270.0,8.0,202.0,41.0,402.0,104.0,1300.0
            Chantal,1983,9,12,12,34.0,-56.3,hurricane,1.0,65,994,278,45,0,CHANTAL,AL051983,1983-09-12 12:00:00,1983-09-12 12:00:00,267.0,5.0,181.0,38.0,404.0,102.0,1315.0
            Chantal,1983,9,12,18,34.4,-55.5,hurricane,1.0,65,994,266,44,0,CHANTAL,AL051983,1983-09-12 18:00:00,1983-09-12 18:00:00,267.0,1.0,133.0,40.0,419.0,103.0,1297.0
              Diana,1984,9,10,12,30.5,-80.0,hurricane,1.0,65,991,179,39,0,DIANA,AL101984,1984-09-10 12:00:00,1984-09-10 12:00:00,285.0,55.0,110.0,40.0,434.0,140.0,137.0
              Diana,1984,9,10,18,30.8,-79.6,hurricane,1.0,70,986,240,55,0,DIANA,AL101984,1984-09-10 18:00:00,1984-09-10 18:00:00,285.0,63.0,86.0,40.0,463.0,147.0,175.0
              Diana,1984,9,11,0,31.3,-79.1,hurricane,1.0,80,980,207,63,0,DIANA,AL101984,1984-09-11 00:00:00,1984-09-11 00:00:00,282.0,62.0,25.0,38.0,469.0,150.0,174.0
              Diana,1984,9,11,60,31.8,-78.7,hurricane,2.0,85,973,207,64,0,DIANA,AL101984,1984-09-11 06:00:00,1984-09-11 06:00:00,284.0,63.0,10.0,37.0,456.0,136.0,148.0
              Diana,1984,9,11,12,32.6,-78.4,hurricane,3.0,100,960,202,60,1,DIANA,AL101984,1984-09-11 12:00:00,1984-09-11 12:00:00,281.0,60.0,20.0,37.0,439.0,134.0,105.0
              Diana,1984,9,11,18,33.4,-78.0,hurricane,3.0,110,952,209,63,1,DIANA,AL101984,1984-09-11 18:00:00,1984-09-11 18:00:00,277.0,36.0,82.0,32.0,438.0,140.0,56.0
              Diana,1984,9,12,0,33.9,-77.7,hurricane,4.0,115,949,209,64,1,DIANA,AL101984,1984-09-12 00:00:00,1984-09-12 00:00:00,277.0,31.0,93.0,28.0,440.0,105.0,25.0
