name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,hurricane_class,merge_name,storm_id,correct_datetime,datetime,CSST,COHC,SHRD,RHMD,MTPW,VMPI,DTL
             Helene,1988,9,25,18,20.9,-49.3,hurricane,2.0,90,968,258,73,0,HELENE,AL091988,1988-09-25 18:00:00,1988-09-25 18:00:00,278.0,41.0,224.0,65.0,545.0,131.0,1355.0
               Lili,1996,10,21,0,31.9,-60.8,hurricane,1.0,75,980,282,56,0,LILI,AL121996,1996-10-21 00:00:00,1996-10-21 00:00:00,259.0,0.0,328.0,33.0,507.0,86.0,1359.0
               Fran,1996,8,30,12,19.8,-60.1,hurricane,1.0,65,989,221,47,0,FRAN,AL061996,1996-08-30 12:00:00,1996-08-30 12:00:00,285.0,65.0,172.0,44.0,522.0,128.0,294.0
            Alberto,2000,8,20,12,37.1,-47.9,hurricane,2.0,85,972,180,46,0,ALBERTO,AL032000,2000-08-20 12:00:00,2000-08-20 12:00:00,260.0,0.0,26.0,43.0,491.0,86.0,1144.0
              Isaac,2006,10,1,12,33.8,-60.3,hurricane,1.0,70,986,210,40,0,ISAAC,AL102006,2006-10-01 12:00:00,2006-10-01 12:00:00,262.0,0.0,353.0,63.0,449.0,86.0,1173.0
               Bill,2009,8,21,0,24.1,-63.7,hurricane,3.0,110,943,400,135,1,BILL,AL032009,2009-08-21 00:00:00,2009-08-21 00:00:00,288.0,45.0,164.0,60.0,588.0,137.0,597.0
               Gert,1999,9,21,0,29.2,-62.9,hurricane,2.0,95,950,221,63,0,GERT,AL091999,1999-09-21 00:00:00,1999-09-21 00:00:00,279.0,26.0,196.0,64.0,593.0,119.0,1169.0
             Gordon,1994,11,17,18,31.5,-74.8,hurricane,1.0,65,981,257,51,0,GORDON,AL121994,1994-11-17 18:00:00,1994-11-17 18:00:00,244.0,0.0,336.0,48.0,482.0,78.0,397.0
             Leslie,2012,9,5,60,25.4,-62.8,hurricane,1.0,65,985,340,15,0,LESLIE,AL122012,2012-09-05 06:00:00,2012-09-05 06:00:00,287.0,45.0,199.0,55.0,538.0,155.0,755.0
               Hugo,1989,9,17,60,16.4,-61.5,hurricane,4.0,120,943,215,62,1,HUGO,AL111989,1989-09-17 06:00:00,1989-09-17 06:00:00,289.0,77.0,141.0,57.0,509.0,146.0,71.0
            Georges,1998,9,28,0,29.3,-88.5,hurricane,2.0,95,961,304,112,0,GEORGES,AL071998,1998-09-28 00:00:00,1998-09-28 00:00:00,277.0,25.0,194.0,54.0,569.0,108.0,56.0
            Frances,1986,11,20,60,27.0,-61.0,hurricane,1.0,65,1001,274,46,0,FRANCES,AL101986,1986-11-20 06:00:00,1986-11-20 06:00:00,257.0,0.0,253.0,44.0,459.0,97.0,978.0
             Helene,2018,9,12,0,17.6,-35.3,hurricane,2.0,85,973,210,70,0,HELENE,AL082018,2018-09-12 00:00:00,2018-09-12 00:00:00,266.0,11.0,159.0,53.0,566.0,68.0,1922.0
              Paula,2010,10,12,12,18.1,-85.6,hurricane,1.0,75,986,90,20,0,PAULA,AL182010,2010-10-12 12:00:00,2010-10-12 12:00:00,293.0,72.0,242.0,50.0,533.0,160.0,231.0
             Jeanne,1998,9,27,0,23.4,-41.6,hurricane,1.0,75,980,235,60,0,JEANNE,AL101998,1998-09-27 00:00:00,1998-09-27 00:00:00,271.0,16.0,47.0,48.0,463.0,133.0,2192.0
               Luis,1995,9,1,60,15.8,-42.6,hurricane,3.0,105,958,222,52,1,LUIS,AL131995,1995-09-01 06:00:00,1995-09-01 06:00:00,271.0,24.0,106.0,57.0,565.0,124.0,1604.0
               Dean,2007,8,18,12,15.4,-68.0,hurricane,5.0,145,923,300,85,1,DEAN,AL042007,2007-08-18 12:00:00,2007-08-18 12:00:00,287.0,65.0,52.0,63.0,576.0,136.0,295.0
                Sam,2021,9,30,60,21.0,-58.8,hurricane,4.0,125,937,230,85,1,SAM,AL182021,2021-09-30 06:00:00,2021-09-30 06:00:00,284.0,59.0,122.0,53.0,468.0,142.0,483.0
