name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,hurricane_class
           Humberto,1995,8,26,0,19.4,-46.6,hurricane,2.0,90,970,242,60,0
               Opal,1995,10,5,0,31.0,-86.8,hurricane,1.0,80,950,367,115,0
                Sam,2021,10,3,60,36.7,-56.6,hurricane,2.0,90,960,400,60,0
              Irene,1981,9,28,12,27.0,-56.7,hurricane,3.0,105,959,217,60,1
              Emily,1993,8,30,18,32.0,-72.2,hurricane,1.0,75,974,237,66,0
             Dorian,2019,9,6,0,33.4,-77.9,hurricane,2.0,90,956,310,100,0
              Mitch,1998,10,24,60,13.9,-77.8,hurricane,1.0,65,990,144,23,0
               Noel,1995,9,29,0,15.9,-42.6,hurricane,1.0,65,987,154,22,0
             Gustav,1990,8,27,0,15.3,-57.0,hurricane,1.0,75,980,151,28,0
              Delta,2020,10,9,12,27.5,-93.8,hurricane,3.0,100,958,240,60,1
             Leslie,2018,10,4,12,31.7,-57.2,hurricane,1.0,65,979,370,60,0
            Katrina,2005,8,26,12,25.1,-82.0,hurricane,1.0,75,979,120,30,0
              Keith,2000,10,1,60,17.9,-87.2,hurricane,4.0,120,941,338,124,1
               Gert,1999,9,15,12,17.5,-48.9,hurricane,4.0,115,940,238,62,1
               Earl,1986,9,14,18,30.6,-51.7,hurricane,2.0,90,979,205,60,0
               Karl,2004,9,23,0,29.0,-47.7,hurricane,2.0,95,965,475,125,0
              Isaac,2000,9,25,60,16.7,-39.5,hurricane,2.0,95,965,274,72,0
              David,1979,8,29,60,14.2,-59.2,hurricane,4.0,120,942,210,57,1
             Isaias,2020,7,31,18,22.1,-75.1,hurricane,1.0,70,990,200,40,0
           Franklin,2023,8,30,60,32.6,-68.7,hurricane,2.0,95,956,250,60,0
            Edouard,2014,9,18,0,38.3,-49.5,hurricane,1.0,75,958,300,90,0
              Emily,2005,7,16,18,16.4,-78.0,hurricane,4.0,135,937,190,65,1
              Greta,1978,9,18,60,15.8,-84.3,hurricane,4.0,115,947,210,59,1
               Lili,1990,10,13,0,32.1,-72.1,hurricane,1.0,65,992,248,56,0
             Gordon,2012,8,19,60,34.7,-32.6,hurricane,2.0,90,969,190,50,0
           Florence,1994,11,8,12,41.8,-40.7,hurricane,2.0,85,977,414,99,0
               Joan,1988,10,21,60,11.5,-80.7,hurricane,2.0,90,970,280,76,0
               Lili,1996,10,25,0,34.3,-49.9,hurricane,1.0,80,977,515,120,0
               Kate,2003,10,5,18,31.4,-56.4,hurricane,2.0,85,975,256,66,0
            Chantal,1983,9,12,60,33.6,-57.6,hurricane,1.0,65,994,262,46,0
               Bill,1997,7,12,12,37.9,-61.1,hurricane,1.0,65,987,225,52,0
              Felix,2001,9,13,12,25.9,-48.4,hurricane,2.0,85,972,236,59,0
              Anita,1977,9,1,0,25.9,-92.8,hurricane,1.0,80,979,246,66,0
               Kate,2003,10,4,18,30.2,-54.0,hurricane,3.0,110,952,252,68,1
           Humberto,2013,9,12,60,19.9,-28.9,hurricane,1.0,80,979,260,60,0
                Lee,2017,9,24,18,31.3,-49.8,hurricane,1.0,80,980,60,20,0
              Floyd,1981,9,6,12,24.5,-69.1,hurricane,2.0,90,988,215,64,0
                Sam,2021,10,4,60,39.9,-49.9,hurricane,2.0,90,957,440,60,0
          Josephine,1984,10,12,0,31.4,-71.7,hurricane,2.0,90,970,250,70,0
              Maria,2017,9,20,18,18.6,-67.0,hurricane,2.0,95,959,230,85,0
              Emily,1981,9,5,12,39.0,-60.8,hurricane,1.0,75,967,387,94,0
               Lili,1996,10,21,60,33.0,-59.1,hurricane,1.0,70,985,279,54,0
                Sam,2021,9,25,0,12.3,-45.4,hurricane,2.0,85,982,90,20,0
              Nigel,2023,9,20,60,33.7,-55.2,hurricane,2.0,85,971,260,85,0
             Harvey,2017,8,26,60,28.2,-97.1,hurricane,3.0,105,948,190,50,1
             Leslie,2018,10,13,12,37.2,-14.1,hurricane,1.0,65,979,330,50,0
            Georges,1998,9,24,60,20.8,-76.0,hurricane,1.0,65,991,230,54,0
                Sam,2021,9,27,60,15.0,-51.1,hurricane,4.0,115,948,160,45,1
              Emily,1981,9,5,18,39.4,-59.9,hurricane,1.0,80,966,375,87,0
                Lee,2017,9,25,0,31.2,-49.6,hurricane,2.0,85,976,60,20,0
                Sam,2021,10,1,18,29.2,-61.9,hurricane,4.0,130,937,310,85,1
               Gert,1999,9,20,0,26.2,-60.7,hurricane,4.0,115,947,220,65,1
                Ian,2022,9,28,18,26.6,-82.4,hurricane,4.0,135,938,300,85,1
               Hugo,1989,9,16,18,15.8,-59.4,hurricane,4.0,120,941,214,60,1
                Lee,2023,9,8,18,18.5,-55.1,hurricane,4.0,125,941,210,60,1
               Rita,2005,9,21,60,24.2,-84.0,hurricane,3.0,110,955,205,70,1
              Greta,1978,9,17,0,14.6,-79.6,hurricane,1.0,80,982,200,46,0
            Matthew,2016,10,1,60,13.4,-72.5,hurricane,5.0,140,942,260,60,1
             Leslie,2018,10,3,12,29.5,-56.8,hurricane,1.0,75,972,330,30,0
             Isabel,2003,9,17,0,28.1,-71.5,hurricane,2.0,95,957,225,63,0
             Dorian,2019,8,29,18,22.0,-67.4,hurricane,1.0,75,983,120,25,0
            Epsilon,2020,10,21,0,28.3,-56.3,hurricane,1.0,65,987,460,20,0
               Gert,1999,9,21,12,31.3,-62.6,hurricane,2.0,85,955,209,66,0
            Frances,2004,9,2,73,22.8,-72.8,hurricane,4.0,125,936,209,63,1
              Floyd,1999,9,14,60,24.9,-75.3,hurricane,3.0,105,927,215,62,1
            Isidore,2002,9,22,21,21.3,-89.3,hurricane,3.0,110,936,332,154,1
